iter	Passed	Remaining
0	1	111
1	1	97
2	2	94
3	3	87
4	4	86
5	5	83
6	6	83
7	7	83
8	8	85
9	9	85
10	10	84
11	11	81
12	11	79
13	12	77
14	13	75
15	13	73
16	14	71
17	15	70
18	16	68
19	16	67
20	17	65
21	18	64
22	18	62
23	19	61
24	20	60
25	20	59
26	21	58
27	22	57
28	22	56
29	23	55
30	24	54
31	25	53
32	25	52
33	26	51
34	27	50
35	27	49
36	28	48
37	28	47
38	29	46
39	30	45
40	30	44
41	31	42
42	31	42
43	32	41
44	32	40
45	33	39
46	34	38
47	34	37
48	35	36
49	36	36
50	36	35
51	37	34
52	38	33
53	39	33
54	39	32
55	40	31
56	40	30
57	41	30
58	42	29
59	42	28
60	43	27
61	44	27
62	44	26
63	45	25
64	46	24
65	46	24
66	47	23
67	48	22
68	48	21
69	49	21
70	50	20
71	50	19
72	51	18
73	51	18
74	52	17
75	53	16
76	54	16
77	55	15
78	55	14
79	56	14
80	56	13
81	57	12
82	58	11
83	58	11
84	59	10
85	60	9
86	60	9
87	61	8
88	62	7
89	62	6
90	63	6
91	64	5
92	64	4
93	65	4
94	66	3
95	66	2
96	67	2
97	68	1
98	69	0
99	69	0
